market,ticker,date,open,high,low,close,volume
KR,005930,2022-01-03,26151.062544286186,26287.640445897974,26046.858217818644,26133.78222066719,529715
KR,005930,2022-01-04,26054.790928049886,26129.702308189073,25575.60431429801,25798.178651463582,764287
KR,005930,2022-01-05,25631.41239254093,25806.911560212196,25584.968664004195,25785.460044857064,1207287
KR,005930,2022-01-06,25745.166976523404,26414.26697838978,25710.067652737045,26244.933867977303,456784
KR,005930,2022-01-07,26169.80911819173,27695.402116668592,26056.474746378706,27465.06189047258,190783
KR,005930,2022-01-10,27411.288571543766,27471.816426672347,26954.37444007067,26972.405215166644,604322
KR,005930,2022-01-11,26950.189071952886,27138.088313005195,26660.425741189494,26752.27964380279,333664
KR,005930,2022-01-12,26652.471671072017,26694.98185474714,26244.927986451057,26353.214749768493,183790
KR,005930,2022-01-13,26265.418190891654,27004.411363082334,26030.940811135773,26730.537701280846,330433
KR,005930,2022-01-14,26722.493114060915,26927.149018761025,26088.610302857105,26183.476196847743,763473
KR,005930,2022-01-17,26192.570021020027,26204.76496845963,25806.776230480085,25960.434170953995,821279
KR,005930,2022-01-18,25909.34417062378,25969.075900636286,25904.699412772745,25951.793938820647,645984
KR,005930,2022-01-19,25990.58811310277,25997.795714487198,25378.68669149754,25499.811949407773,266680
KR,005930,2022-01-20,25483.02378771855,25565.165017838215,24969.38172750794,25065.50295783748,1585549
KR,005930,2022-01-21,24988.809054299527,25055.420883518305,24706.795986941852,24855.92497406644,251035
KR,005930,2022-01-24,24858.962169344722,25056.65760911669,23639.366143176507,23921.145228587215,433349
KR,005930,2022-01-25,24056.233694827344,24186.96650961756,23534.997630377347,23563.163549854333,218778
KR,005930,2022-01-26,23515.453360527645,23577.646295740753,23067.410106905027,23095.97836310663,870652
KR,005930,2022-01-27,23176.777778295032,23230.90112218828,23032.00525642351,23039.2251782096,563266
KR,005930,2022-01-28,23134.453845312004,23334.26944795208,22631.88813832769,23038.134697647467,702751
KR,005930,2022-01-31,23141.679243943123,23248.195604087257,22198.507999171194,22355.779538846276,471638
KR,005930,2022-02-01,22300.608067248973,22512.418625399663,22299.577342067205,22474.416011370293,435764
KR,005930,2022-02-02,22610.299067826618,22820.16697527314,22490.949799048165,22561.40936202507,492043
KR,005930,2022-02-03,22569.2843852965,22900.925791139874,22503.338616873974,22882.432521453018,175444
KR,005930,2022-02-04,22865.01059885562,22926.592454234913,22485.92047817845,22613.424043471296,741502
KR,005930,2022-02-07,22597.79717823284,22606.8968037056,22279.615900510093,22422.744287296788,712277
KR,005930,2022-02-08,22463.21107625316,22863.09114233828,22416.024934294604,22721.53156324585,370816
KR,005930,2022-02-09,22725.01665078622,22814.858636677272,22467.586185485954,22628.000141659435,448456
KR,005930,2022-02-10,22615.991687310805,22757.932037805862,21665.317426228154,21856.118973436547,524293
KR,005930,2022-02-11,21940.281789616252,21963.911092746188,21649.069311644675,21698.867445710155,989749
KR,005930,2022-02-14,21651.81805152514,22323.40836216174,21545.029370887805,22232.32065987231,560313
KR,005930,2022-02-15,22162.746128890205,22276.846307518375,22000.50405125902,22163.21561430834,461261
KR,005930,2022-02-16,22215.94889227135,22838.35324755601,22197.323188025173,22755.0438588303,350145
